date,datetime,desc,img,link,media,title
1 week ago,2020-12-25 17:13:57.395606,WASHINGTON (AP) — Pfizer said Wednesday it will supply the U.S. government with an additional 100 million doses of its COVID-19 vaccine under a new ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://apnews.com/article/health-coronavirus-pandemic-coronavirus-vaccine-f35259fee53146887591c32fd8ca6fdb,Associated Press,Pfizer to supply US with additional 100M doses of vaccine
1 week ago,2020-12-25 17:13:57.396631,"With this agreement, the federal government will have purchased 200 million doses of Pfizer/BioNTech's Covid-19 vaccine for $4 billion. The vaccine is 95% ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.cnn.com/2020/12/23/health/pfizer-vaccine-purchase-100-million-doses/index.html,CNN,Trump administration to purchase additional 100 million Pfizer vaccine doses
th · 1 week ago,2020-12-25 17:13:57.513291,"So far, only two pharmaceutical companies — Pfizer and Moderna — have won federal authorization for emergency distribution of Covid-19 vaccines, and most of ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.nytimes.com/2020/12/22/us/pfizer-vaccine-doses.html,The New York Times,Pfizer Nears Deal to Provide More Vaccine Doses
1 month ago,2020-12-01 17:13:57.515314,"In giving the go-ahead for emergency use of the vaccine developed by American drugmaker Pfizer and Germany's BioNTech, Britain vaulted past the United ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://apnews.com/article/uk-authorizes-vaccine-emergency-use-ea0170c978eb281a905866e5bd78bbdf,Associated Press,Britain OKs Pfizer vaccine and will begin shots within days
1 month ago,2020-12-01 17:13:57.517309,Pfizer and BioNTech's Covid-19 vaccine wins UK authorization -- first in the West. Britain becomes first nation in West to get a coronavirus shot; earliest doses to go ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.foxnews.com/health/pfizer-and-biontechs-covid-19-vaccine-wins-uk-authorization,Fox News,Pfizer and BioNTech’s Covid-19 vaccine wins UK authorization -- first in the West
th · 1 month ago,2020-12-01 17:13:57.600094,"LONDON — Britain gave emergency authorization on Wednesday to Pfizer's coronavirus vaccine, leaping ahead of the United States to become the first ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.nytimes.com/2020/12/02/world/europe/pfizer-coronavirus-vaccine-approved-uk.html,The New York Times,"U.K. Approves Pfizer Coronavirus Vaccine, a First in the West"
2 weeks ago,2020-12-18 17:13:57.601091,"O'FALLON, Mo. (AP) — Several states say they have been told to expect far fewer doses of the Pfizer-BioNTech COVID-19 vaccine in its second week of ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://apnews.com/article/health-coronavirus-pandemic-coronavirus-vaccine-87da29dc29e51236b90c2be9b023ce0a,Associated Press,Some states say Pfizer vaccine allotments cut for next week
2 weeks ago,2020-12-18 17:13:57.603051,Health and Human Services Secretary Alex Azar and special adviser Dr. Moncef Slaoui also told reporters Wednesday that Pfizer had been unable to commit to a ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://apnews.com/article/politics-alex-azar-coronavirus-pandemic-coronavirus-vaccine-5adc0da61e18bf366635607ccd222614,Associated Press,US angling to secure more of Pfizer's coronavirus vaccine
3 weeks ago,2020-12-11 17:13:57.606043,"London (CNN) People with a ""significant history of allergic reactions"" should not be given the Pfizer/BioNTech coronavirus vaccine, UK health authorities said ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.cnn.com/2020/12/09/health/covid-vaccine-allergies-health-workers-uk-intl-gbr/index.html,CNN,Allergy warning for Pfizer/BioNTech vaccine after UK health workers with allergy history suffer reaction
1 day ago,2020-12-31 17:13:57.607041,Doctors in the U.K. are pushing back on the decision to delay administering the second dose of Pfizer's vaccine later than the three week period studied in ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.cnbc.com/2020/12/31/doctors-criticize-uk-health-officials-for-changing-pfizer-covid-vaccine-plan-.html,CNBC,Doctors criticize UK health officials for changing Pfizer Covid vaccine plan
