c,h,l,o,t,v
19.23,19.81,18.88,19.57,2020-01-02,1095636
18.89,19.36,18.72,19.02,2020-01-03,895895
18.12,18.76,18.01,18.7,2020-01-06,1226236
17.81,18.32,17.68,18.15,2020-01-07,1259340
17.96,18.08,17.79,17.99,2020-01-08,832795
18.403,18.55,17.9,18.0,2020-01-09,1076905
19.12,21.0,19.05,21.0,2020-01-10,4160634
20.26,20.36,18.6,19.26,2020-01-13,1940112
19.99,20.4979,19.55,20.45,2020-01-14,1261908
20.24,20.58,19.94,19.94,2020-01-15,1543692
21.01,21.87,20.77,21.68,2020-01-16,4633333
20.65,21.5,20.55,21.5,2020-01-17,3246863
20.94,21.49,20.645,20.79,2020-01-21,4002059
21.97,23.2,21.7,22.08,2020-01-22,18821059
21.48,22.65,21.4,22.17,2020-01-23,6809082
21.11,21.8793,20.9,21.6,2020-01-24,4771054
22.71,23.12,21.12,22.1,2020-01-27,9208300
22.35,23.5,21.8501,23.5,2020-01-28,5179109
20.53,22.34,20.45,22.23,2020-01-29,4270235
20.98,21.74,20.8,21.05,2020-01-30,2598192
20.52,21.32,20.05,21.14,2020-01-31,2661333
20.38,21.06,19.7,20.66,2020-02-03,2951811
20.87,20.88,19.75,20.09,2020-02-04,1594769
20.04,21.2,19.67,20.99,2020-02-05,2445350
19.88,20.32,19.7,20.27,2020-02-06,1733849
23.23,23.39,19.79,19.79,2020-02-07,9641140
23.63,23.95,22.3832,23.5,2020-02-10,8678779
21.35,22.74,21.28,22.09,2020-02-11,6092938
19.01,19.67,18.5,19.64,2020-02-12,17311197
19.04,19.8,18.89,19.36,2020-02-13,6647867
19.0,19.29,18.85,19.27,2020-02-14,4201936
18.915,19.35,18.57,19.14,2020-02-18,3873718
18.91,19.24,18.725,19.09,2020-02-19,3081112
18.539,19.17,18.42,18.86,2020-02-20,3250375
18.23,18.55,17.91,18.47,2020-02-21,3148446
18.56,19.28,18.3,19.23,2020-02-24,5092562
23.75,26.55,20.51,22.15,2020-02-25,62081056
29.16,29.98,27.08,29.05,2020-02-26,71255338
26.145,36.0,23.05,35.88,2020-02-27,64241810
25.95,25.95,22.015,23.38,2020-02-28,22715144
29.8701,30.75,25.21,27.0,2020-03-02,31719851
27.91,28.6,26.6,27.8035,2020-03-03,16250812
27.46,28.72,26.8,27.99,2020-03-04,11251011
28.0001,28.95,26.535,27.49,2020-03-05,16622635
29.61,29.8,27.67,27.98,2020-03-06,20634051
24.28,30.0,24.16,30.0,2020-03-09,13750903
22.34,25.94,21.28,25.71,2020-03-10,12797964
23.6,25.7491,22.5235,22.54,2020-03-11,29115718
22.24,24.28,21.9,22.8997,2020-03-12,10739908
21.3,23.47,19.31,23.0,2020-03-13,11120313
26.44,27.8,22.22,23.76,2020-03-16,73407408
28.16,32.7,27.3148,29.36,2020-03-17,43747734
31.45,32.3,26.55,27.15,2020-03-18,22609801
28.27,34.98,25.19,32.78,2020-03-19,73657178
28.15,30.23,26.2,29.25,2020-03-20,15195900
26.53,29.81,26.25,28.71,2020-03-23,10887773
25.82,27.25,24.36,27.09,2020-03-24,12131667
27.13,27.98,24.79,25.0,2020-03-25,9462594
27.92,28.79,27.56,27.56,2020-03-26,5408629
30.05,31.09,27.95,28.37,2020-03-27,12133891
30.47,31.69,28.27,30.59,2020-03-30,20759908
29.95,30.98,29.2,30.6,2020-03-31,5579300
29.67,30.94,29.44,30.05,2020-04-01,6802935
33.195,33.39,29.84,30.6,2020-04-02,15378888
34.84,35.66,32.72,32.81,2020-04-03,16500540
34.63,35.185,33.33,34.91,2020-04-06,21067296
31.995,34.03,30.9801,33.81,2020-04-07,19529282
32.4,32.94,31.7501,32.36,2020-04-08,3953822
31.87,32.92,31.32,32.55,2020-04-09,4532909
32.89,32.98,31.71,32.0,2020-04-13,10143644
34.65,34.99,33.15,34.0,2020-04-14,15240930
37.25,38.45,33.72,34.64,2020-04-15,46015188
40.6,41.55,36.62,38.0735,2020-04-16,74328269
46.85,49.0,43.38,48.99,2020-04-17,91293307
51.68,54.95,44.51,45.0,2020-04-20,99801547
49.225,56.38,43.11,53.0,2020-04-21,155425399
51.16,51.82,49.06,50.61,2020-04-22,32119798
47.44,50.7,46.89,49.1,2020-04-23,58489632
50.5,50.5,47.1416,47.15,2020-04-24,32643091
