date,datetime,desc,img,link,media,title
"Mar 16, 2020",2020-03-16,"Pfizer, BioNTech to co-develop potential coronavirus vaccine. By Reuters Staff. 2 Min Read. (Reuters) - U.S. drugmaker Pfizer Inc PFE.N has signed a deal with ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.reuters.com/article/us-health-coronavirus-pfizer-biontech-idUSKBN2140LM,Reuters,"Pfizer, BioNTech to co-develop potential coronavirus vaccine"
"Mar 17, 2020",2020-03-17,"“We believe that by pairing Pfizer's development, regulatory and commercial capabilities with BioNTech's mRNA vaccine technology and expertise as one of the ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.globenewswire.com/news-release/2020/03/17/2001593/0/en/Pfizer-and-BioNTech-to-Co-develop-Potential-COVID-19-Vaccine.html,GlobeNewswire,Pfizer and BioNTech to Co-develop Potential COVID-19 Vaccine
"Mar 17, 2020",2020-03-17,Pfizer and BioNTech have decided not to let financial details hold up their collaboration on a vaccine against COVID-19. (Tracy Staton). Share Facebook Twitter ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.fiercebiotech.com/biotech/pfizer-biontech-strike-covid-19-deal-commit-multiple-r-d-sites-to-vaccine-development,FierceBiotech,"Pfizer, BioNTech strike COVID-19 deal, commit multiple R&D ..."
"Mar 25, 2020",2020-03-25,"These photos from Pfizer's letter to healthcare professionals show a raised blue safety release. This can cause the EpiPen to activate before it should, rendering ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.miamiherald.com/news/health-care/article241466361.html,Miami Herald,Here’s how the life-saving EpiPen might fail when needed. FDA issues an alert
"Mar 25, 2020",2020-03-25,"Pfizer and Mylan said some EpiPens are activating before patients can receive the injection, which means that device can't be used anymore and the patient ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://abc11.com/fda-warning-epipen-malfunction/6048821,WTVD-TV,"FDA issues EpiPen warning due to delayed injection, device failure"
"Mar 24, 2020",2020-03-24,"Pfizer manufactures the injectors for Mylan, which sells them. When held against the thigh, they're supposed to automatically inject the hormone epinephrine to ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://apnews.com/article/86fe81f827ee52e1957f463eaac91bf3,Associated Press,"Malfunctioning EpiPens could harm patients, companies say"
"Mar 26, 2020",2020-03-26,"Mylan and Pfizer Provide Update Regarding Proposed Combination of Mylan and Upjohn. - Due to global impact of COVID-19 pandemic, transaction now ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.prnewswire.com/news-releases/mylan-and-pfizer-provide-update-regarding-proposed-combination-of-mylan-and-upjohn-301030187.html,PRNewswire,Mylan and Pfizer Provide Update Regarding Proposed ...
"Mar 5, 2020",2020-03-05,"(Reuters) - Pfizer Inc is considering a collaboration with German drugmaker ... mRNA-based drug development platform, Pfizer's R&D head told Reuters on ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.reuters.com/article/us-health-coronavirus-pfizer-idUSKBN20T03K,Reuters,Pfizer weighs working with BioNTech on potential coronavirus vaccine: R&D head
"Mar 2, 2020",2020-03-02,Pfizer Chief Scientific Officer Mikael Dolsten was one of a number of pharmaceutical executives who met with U.S. President Trump at the White House on Monday ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.reuters.com/article/us-health-coronavirus-pfizer/pfizer-identified-some-antiviral-compounds-with-potential-as-coronavirus-treatments-idUSKBN20P3BJ,Reuters,Pfizer identified some antiviral compounds with potential as coronavirus treatments
"Mar 18, 2020",2020-03-18,"Pfizer Announces Positive Top-Line Results from Third Phase 3 Trial of Abrocitinib for Moderate to Severe Atopic Dermatitis, Which Showed Improvements in Skin ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.businesswire.com/news/home/20200318005459/en/%C2%A0Pfizer-Announces-Positive-Top-Line-Results-from-Third-Phase-3-Trial-of-Abrocitinib-for-Moderate-to-Severe-Atopic-Dermatitis-Which-Showed-Improvements-in-Skin-Clearance-Disease-Extent-and-Severity-and-Itch,,Pfizer Announces Positive Top-Line Results from Third Phase ...
"Mar 30, 2020",2020-03-30,BRUSSELS (Reuters) - Generic drugmaker Mylan NV MYL.O has offered concessions to address European Union antitrust concerns about its bid for Pfizer's ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.reuters.com/article/us-mylan-nl-m-a-pfizer-eu-idUSKBN21H1S4,Reuters,Mylan offers concessions to address EU concerns about Pfizer deal
"Mar 25, 2020",2020-03-25,"(Reuters) - Pfizer Inc said on Wednesday it was delaying patient recruitment in new and ongoing global trials for three weeks due to the coronavirus outbreak, ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://uk.reuters.com/article/us-health-coronavirus-pfizer/us-drugmaker-pfizer-pauses-new-studies-due-to-coronavirus-pandemic-idUKKBN21C2WD,Reuters,U.S. drugmaker Pfizer pauses new studies due to coronavirus pandemic
"Mar 13, 2020",2020-03-13,“Morning Joe” co-host and Know Your Value founder Mika Brzezinski sat down with Pfizer CEO Albert Bourla to discuss the current situation: how companies ...,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.nbcnews.com/know-your-value/feature/coronavirus-5-point-plan-pharmaceutical-companies-ncna1158001,NBC News,Coronavirus: A 5-point plan for pharmaceutical companies
"Mar 13, 2020",2020-03-13,"Published: Mar 13, 2020 By Mark Terry. Clinical Trial Stop. Pfizer and EMD Serono, the biopharmaceutical division of Merck KGaA, Darmstadt, Germany, jointly ...","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.biospace.com/article/emd-serono-and-pfizer-s-halt-bavencio-head-and-neck-cancer-trial/,BioSpace,EMD Serono and Pfizer Halt Phase III Head and Neck Cancer ...
