compound,positive,negative,neutral,c,h,l,o,v
0.233725,0.06624999999999999,0.0,0.9337499999999999,0.0,35.27,34.655,35.26,17819919.0
0.04068000000000001,0.029200000000000004,0.0182,0.9526000000000001,1.0,35.47,34.6,34.71,15758523.0
0.32602500000000006,0.12837500000000002,0.018125,0.8534999999999999,1.0,35.98,35.445,35.49,14147114.0
0.03766666666666666,0.03266666666666666,0.020444444444444446,0.9468888888888889,0.0,36.26,35.81,35.82,8816274.0
0.23914444444444444,0.11344444444444446,0.04755555555555555,0.8393333333333333,0.0,35.8755,35.42,35.65,11426298.0
-0.11013999999999999,0.023,0.054400000000000004,0.9227000000000001,1.0,35.89,35.53,35.65,10716795.0
0.0,0.0245,0.0245,0.9510000000000001,1.0,36.0142,35.6,35.67,9502699.0
-0.04418571428571427,0.04257142857142857,0.04871428571428571,0.9087142857142857,1.0,36.58,36.07,36.14,15329219.0
0.08955454545454546,0.08827272727272728,0.05572727272727273,0.8561818181818182,1.0,36.35,35.98,36.16,7165473.0
0.17149999999999999,0.08158333333333333,0.043500000000000004,0.8749166666666669,1.0,36.7412,36.41,36.45,12205572.0
0.21831,0.08559999999999998,0.03,0.8844000000000001,0.0,36.75,36.32,36.63,10967477.0
-0.016944444444444446,0.039611111111111104,0.04416666666666667,0.9161666666666667,1.0,36.81,36.37,36.49,11786401.0
0.014500000000000002,0.045799999999999993,0.033800000000000004,0.9204000000000001,0.0,36.7,36.35,36.43,12600195.0
0.27835,0.108875,0.01125,0.87975,0.0,36.68,36.36,36.65,8610380.0
0.012913333333333317,0.0708,0.05693333333333334,0.8723333333333333,0.0,36.7,36.25,36.41,12305820.0
-0.07167142857142858,0.06799999999999999,0.11028571428571429,0.8217142857142857,1.0,36.78,36.22,36.31,10508225.0
0.061099999999999995,0.04163636363636363,0.02209090909090909,0.9362727272727273,0.0,36.84,36.26,36.75,17130932.0
0.1809166666666667,0.07116666666666667,0.016666666666666666,0.9121666666666667,1.0,36.88,36.31,36.4,14748485.0
0.09005625,0.1019375,0.0756875,0.8223750000000001,1.0,37.48,36.82,36.86,21547010.0
0.11670999999999998,0.0632,0.027449999999999995,0.9093500000000001,1.0,38.7598,37.93,38.0,27091473.0
0.34847692307692313,0.10730769230769231,0.006,0.8866923076923078,1.0,38.82,38.3,38.41,18495207.0
-0.02723333333333333,0.067,0.07693333333333333,0.856,0.0,38.54,38.2,38.2652,13474276.0
-0.017079999999999984,0.06420000000000001,0.0774,0.8586,0.0,38.94,38.39,38.69,15387538.0
0.027389999999999998,0.0388,0.03130000000000001,0.9299,0.0,38.74,38.03,38.71,13406335.0
0.08522857142857143,0.049928571428571426,0.019,0.9310714285714285,0.0,38.1,37.47,38.03,15964203.0
0.17375714285714286,0.06314285714285714,0.010285714285714287,0.9264285714285714,1.0,37.73,37.355,37.61,12343138.0
0.24064444444444444,0.079,0.016222222222222225,0.9047777777777777,0.0,37.575,36.88,37.4,18156417.0
-0.10558000000000001,0.0519,0.07599999999999998,0.8721,1.0,37.16,36.83,36.88,21613725.0
0.10867500000000001,0.08625,0.022250000000000002,0.89175,0.0,37.005,36.75,36.91,10479193.0
-0.08819999999999999,0.008615384615384615,0.03107692307692308,0.9603076923076923,1.0,37.09,36.7,36.83,11289106.0
0.07091333333333334,0.032933333333333335,0.011199999999999998,0.9558666666666668,0.0,36.95,36.3,36.95,19408694.0
0.15345714285714288,0.05999999999999999,0.022785714285714288,0.9172142857142856,0.0,36.76,36.32,36.56,16203579.0
0.24973,0.08070000000000001,0.0091,0.9102,1.0,37.47,36.52,36.63,28575820.0
-0.09541250000000003,0.036,0.0575,0.9065,0.0,37.44,36.96,37.39,14446026.0
0.21523125000000004,0.0904375,0.0256875,0.8838750000000001,1.0,37.68,37.32,37.43,18143673.0
0.05932857142857143,0.04042857142857143,0.02585714285714286,0.9337142857142856,0.0,37.69,37.01,37.57,14106318.0
0.152275,0.0603125,0.0124375,0.9271875,1.0,37.94,37.04,37.21,16926268.0
-0.6597,0.0,0.132,0.868,1.0,38.41,37.71,37.79,19481898.0
0.05605,0.07120000000000001,0.055600000000000004,0.8732,1.0,38.88,38.45,38.48,22310535.0
0.30675,0.09025,0.0,0.9097500000000001,0.0,38.59,38.05,38.54,22739456.0
0.2426375,0.113375,0.028625000000000005,0.8580000000000001,1.0,38.71,38.33,38.38,11293341.0
0.13975,0.058,0.0,0.9420000000000001,0.0,38.88,38.51,38.54,6611951.0
0.11822500000000001,0.08275,0.04,0.87725,0.0,38.8,38.25,38.79,12305621.0
-0.003916666666666661,0.04916666666666667,0.03266666666666667,0.9181666666666667,0.0,38.2,37.84,37.96,16127954.0
0.19365833333333335,0.08641666666666666,0.040916666666666664,0.8725833333333332,1.0,38.26,37.89,38.23,11510813.0
0.2099818181818182,0.07472727272727273,0.014818181818181815,0.9104545454545453,0.0,38.37,37.79,38.37,10164475.0
0.24663333333333334,0.09655555555555556,0.02711111111111111,0.8762222222222221,1.0,38.52,38.215,38.28,9698076.0
0.30387,0.10255,0.0053,0.89215,1.0,38.38,38.1,38.1,8820370.0
0.29750000000000004,0.09108333333333334,0.012916666666666667,0.896,1.0,38.58,38.185,38.27,13485579.0
-0.031217647058823506,0.06282352941176471,0.06411764705882352,0.8731176470588237,0.0,38.57,38.2,38.37,12515446.0
-0.007749999999999999,0.0385,0.03821428571428571,0.9232857142857144,1.0,38.62,38.17,38.17,10361986.0
0.3148583333333333,0.11683333333333333,0.020916666666666667,0.8621666666666669,0.0,38.68,38.071,38.52,12047198.0
