compound,positive,negative,neutral,c,h,l,o,v
0.09206666666666667,0.07633333333333332,0.03275,0.8909166666666666,1.0,15.01,14.42,14.78,1626054.0
-0.07643846153846154,0.05023076923076923,0.07723076923076923,0.8725384615384614,1.0,15.24,14.41,15.24,1392218.0
0.08421666666666666,0.07466666666666666,0.05833333333333333,0.8669999999999999,1.0,15.57,14.89,15.05,1812677.0
0.010357142857142867,0.04342857142857143,0.05142857142857143,0.9051428571428571,0.0,15.63,15.07,15.45,2660670.0
-0.08993333333333332,0.06716666666666667,0.09816666666666667,0.8346666666666667,0.0,15.48,15.01,15.36,2335578.0
0.19174999999999998,0.087,0.025750000000000002,0.8872500000000001,0.0,15.55,14.18,15.33,4651340.0
0.21771000000000001,0.0854,0.017300000000000003,0.8972,0.0,14.41,13.87,14.13,2570671.0
0.20098333333333332,0.08633333333333333,0.014166666666666668,0.8995000000000001,0.0,14.7,13.99,14.24,1800610.0
0.061461538461538456,0.02492307692307692,0.01076923076923077,0.9643076923076923,0.0,14.2001,13.67,14.19,1826902.0
0.156225,0.05525,0.0,0.94475,1.0,14.45,13.53,13.93,2192010.0
0.10924166666666668,0.043500000000000004,0.007916666666666667,0.9485833333333332,0.0,14.32,14.02,14.27,1778131.0
0.013728571428571427,0.05892857142857143,0.04707142857142858,0.894,1.0,14.72,14.15,14.23,2276575.0
0.13971111111111112,0.07788888888888888,0.026555555555555554,0.8955555555555554,1.0,14.85,14.07,14.5,3139914.0
0.06062857142857143,0.059000000000000004,0.03614285714285714,0.9048571428571428,1.0,15.59,14.94,15.03,831978.0
0.17624545454545454,0.047636363636363636,0.0,0.9523636363636364,1.0,16.09,15.55,15.56,557869.0
0.15732,0.06273333333333334,0.0126,0.9246666666666667,1.0,17.01,16.09,16.16,1424642.0
0.12707142857142856,0.05485714285714286,0.019285714285714288,0.926,0.0,17.026,16.05,16.92,1071009.0
0.2115888888888889,0.109,0.033777777777777775,0.8571111111111112,1.0,17.1,16.4301,16.73,712026.0
0.025085714285714284,0.023142857142857142,0.010857142857142857,0.9660000000000001,1.0,17.15,16.8094,17.01,623668.0
0.11005833333333333,0.051916666666666667,0.012333333333333335,0.9357500000000001,0.0,17.155,16.66,16.96,725856.0
0.5027,0.20766666666666667,0.0,0.7923333333333334,1.0,17.24,16.52,16.95,910128.0
0.09878,0.027600000000000003,0.0,0.9724,0.0,17.15,16.49,17.03,833060.0
0.059640000000000006,0.056600000000000004,0.032100000000000004,0.9112,0.0,16.894000000000002,15.52,16.8,1533289.0
0.14571818181818183,0.105,0.055,0.84,1.0,16.8,15.83,15.9,1283735.0
-0.02865555555555556,0.04066666666666667,0.06144444444444444,0.8978888888888888,1.0,17.72,16.71,16.94,1710483.0
0.06773333333333333,0.056749999999999995,0.03541666666666667,0.9078333333333335,0.0,17.49,16.05,16.83,1532708.0
0.1938625,0.07087500000000001,0.01925,0.909875,1.0,17.6084,16.2801,16.33,1994519.0
0.07380000000000002,0.06977777777777779,0.05655555555555555,0.8736666666666666,0.0,17.5,17.11,17.25,964059.0
0.12627777777777777,0.06833333333333334,0.029555555555555557,0.9021111111111111,0.0,17.52,17.2,17.33,928735.0
0.45105454545454543,0.16636363636363635,0.013000000000000001,0.8205454545454546,1.0,18.1,17.3025,17.34,1943349.0
0.19485624999999998,0.11050000000000001,0.045625,0.8438125000000001,1.0,18.5,17.71,18.0,1981751.0
0.07257692307692308,0.06569230769230769,0.039384615384615386,0.8949230769230768,1.0,18.5,17.91,18.16,1510606.0
-0.14664285714285713,0.07442857142857143,0.12457142857142856,0.801,1.0,19.43,18.35,18.39,1848613.0
0.1844941176470588,0.07788235294117646,0.022058823529411766,0.9000588235294117,1.0,19.45,18.67,19.21,898942.0
0.19540000000000005,0.08166666666666665,0.021777777777777778,0.8965555555555554,0.0,19.87,19.0824,19.27,1112584.0
0.06214615384615386,0.07346153846153845,0.047538461538461536,0.8790769230769231,1.0,20.4,19.35,19.38,2149734.0
0.22042857142857145,0.08085714285714286,0.0,0.9191428571428572,1.0,20.32,19.69,19.98,1189787.0
0.05684999999999999,0.043666666666666666,0.0265,0.9298333333333333,1.0,20.73,19.86,20.07,1416776.0
-0.021925,0.04575,0.043,0.9112500000000001,0.0,21.0,19.95,20.9,1900509.0
0.13362222222222223,0.08655555555555555,0.03844444444444444,0.875,1.0,20.65,19.82,20.0,1503335.0
0.2691666666666667,0.09149999999999998,0.0,0.9085,1.0,20.7,19.99,20.28,1533901.0
-0.029342857142857143,0.06914285714285713,0.07342857142857143,0.8574285714285714,0.0,20.93,20.28,20.6,1175316.0
-0.20884,0.032799999999999996,0.10629999999999999,0.8611000000000001,0.0,20.54,19.6,20.3,1157298.0
0.06976111111111112,0.04944444444444444,0.024666666666666663,0.9257777777777778,1.0,21.37,19.41,19.48,1775039.0
0.05824000000000001,0.04893333333333332,0.027133333333333336,0.9239333333333334,1.0,21.47,20.9325,21.0,1264527.0
0.06662500000000002,0.052375,0.015625,0.932,0.0,21.5,20.57,21.49,1063555.0
0.031057142857142856,0.031857142857142855,0.028142857142857143,0.9400000000000001,0.0,21.04,18.82,20.78,3482779.0
0.15596666666666667,0.08388888888888887,0.031111111111111114,0.885,0.0,19.3,18.67,19.07,2524618.0
0.009215384615384608,0.07899999999999999,0.06376923076923077,0.8571538461538462,1.0,19.09,18.58,18.78,1597539.0
0.13714285714285715,0.06342857142857143,0.01457142857142857,0.9218571428571428,0.0,19.11,18.53,19.03,1187394.0
